FIPS,Geography,2017 Population,2017 Median Age,2017 Total households,2017 Median HHIncome,2017 Average household size,2017 Total families,2017 Average family size,2017 Percent owner-occupied housing units,2017 Percent renter-occupied housing units,2017 Population 16 years and over,2017 Unemployment rate (Population 16 years and over)
44580,"Sterling, IL Micro Area",56823,42.9,23468,51969,2.38,15320,2.93,75.3,24.7,45519,6.0
44620,"Stevens Point, WI Micro Area",70371,36.6,28072,54620,2.39,17130,2.93,68.6,31.4,58106,4.6
44660,"Stillwater, OK Micro Area",80634,27.2,30404,39149,2.39,16569,3.04,49.5,50.5,66524,4.5
44700,"Stockton-Lodi, CA Metro Area",724153,33.9,223808,57813,3.17,166555,3.68,55.7,44.3,546782,10.1
44740,"Storm Lake, IA Micro Area",20369,35.1,7561,52784,2.56,5129,3.12,66.2,33.8,15679,4.9
44780,"Sturgis, MI Micro Area",60890,39.4,23831,47856,2.52,16624,2.98,74.0,26.0,47472,5.3
44860,"Sulphur Springs, TX Micro Area",35929,39.6,13287,47832,2.67,9828,3.1,69.3,30.7,27820,5.9
44900,"Summerville, GA Micro Area",24880,40.3,9253,35718,2.5,6140,3.05,65.7,34.3,20037,9.5
44920,"Summit Park, UT Micro Area",39731,38.8,14781,94952,2.67,10917,3.08,73.7,26.3,30642,2.3
44940,"Sumter, SC Metro Area",107379,36.0,41417,41946,2.54,28144,3.1,64.9,35.1,84274,11.4
44980,"Sunbury, PA Micro Area",93038,44.3,39281,44534,2.26,24967,2.8,71.3,28.7,76731,5.1
45000,"Susanville, CA Micro Area",31470,36.2,9441,54083,2.28,6086,2.83,66.0,34.0,26937,7.5
45020,"Sweetwater, TX Micro Area",14990,38.8,5552,42019,2.64,3802,3.21,69.3,30.7,11648,7.1
45060,"Syracuse, NY Metro Area",659262,39.2,258028,56305,2.44,161140,3.03,67.4,32.6,535014,6.6
45140,"Tahlequah, OK Micro Area",48404,35.0,16360,39187,2.84,10538,3.58,66.5,33.5,38602,7.9
45180,"Talladega-Sylacauga, AL Micro Area",91843,41.5,35855,38591,2.46,23769,3.05,73.2,26.8,74605,10.2
45220,"Tallahassee, FL Metro Area",377674,33.3,146460,48618,2.42,85448,2.99,57.8,42.2,313062,8.6
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2978209,42.0,1180768,50567,2.48,724860,3.13,64.0,36.0,2441654,6.8
45340,"Taos, NM Micro Area",32809,47.7,12603,35314,2.55,7221,3.41,74.3,25.7,27286,9.7
45380,"Taylorville, IL Micro Area",33562,42.7,13892,50668,2.27,8933,2.79,75.2,24.8,27395,4.6
45460,"Terre Haute, IN Metro Area",170642,38.1,65978,44120,2.41,41748,2.98,66.0,34.0,138776,6.9
45500,"Texarkana, TX-AR Metro Area",149889,38.6,55491,43753,2.58,37594,3.15,65.0,35.0,118627,7.7
45520,"The Dalles, OR Micro Area",25687,40.9,10135,48510,2.42,6583,2.99,64.1,35.9,20530,6.5
45540,"The Villages, FL Metro Area",116754,66.4,52360,54771,2.05,35920,2.43,90.1,9.9,109138,6.6
45580,"Thomaston, GA Micro Area",26241,41.5,10263,35375,2.5,6218,3.29,64.3,35.7,21092,11.2
45620,"Thomasville, GA Micro Area",44909,39.6,17254,41336,2.55,11936,3.05,64.4,35.6,35204,9.3
45660,"Tiffin, OH Micro Area",55549,39.5,21507,49153,2.44,14335,2.94,72.2,27.8,44651,5.9
45700,"Tifton, GA Micro Area",40531,35.5,14999,38728,2.57,10681,3.04,57.0,43.0,31398,3.9
45740,"Toccoa, GA Micro Area",25625,42.3,9427,39756,2.64,6496,3.29,70.2,29.8,20541,11.7
45780,"Toledo, OH Metro Area",605204,37.3,245562,48284,2.39,150597,3.02,62.3,37.7,483715,7.6
45820,"Topeka, KS Metro Area",233382,39.9,93914,55194,2.43,60476,3.02,68.0,32.0,183550,5.5
45860,"Torrington, CT Micro Area",184454,46.9,74605,76438,2.43,49751,2.96,76.8,23.2,153976,6.0
45900,"Traverse City, MI Micro Area",147606,45.1,59471,55926,2.42,39315,2.94,80.0,20.0,121677,6.0
45940,"Trenton, NJ Metro Area",373362,38.6,129546,77027,2.75,87992,3.35,64.2,35.8,302590,7.5
